Ano,Comerciais Leves,Ônibus Urbanos,Ônibus Rodoviários,Caminhões Leves,Caminhões Médios,Caminhões Pesados,SOMA
1980,880,34756,8142,7741,13505,28900,93924
1981,1347,34110,7991,7712,13842,28009,93011
1982,2069,34675,8123,7755,14451,27943,95016
1983,2544,33139,7763,7298,13897,26383,91024
1984,3061,34273,8029,7509,14562,27444,94878
1985,3484,34783,8148,7687,15284,28510,97896
1986,4343,39964,9362,8963,18643,34045,115320
1987,4719,41280,9670,9215,20323,36279,121486
1988,5006,41909,9818,9007,21027,37180,123947
1989,5699,44129,10338,9138,22317,39698,131319
1990,6143,44125,10337,8860,22311,40520,132296
1991,6593,46396,10869,8770,22551,42138,137317
1992,6828,48372,11332,8436,22085,42729,139782
1993,7296,49821,11671,8154,21804,44725,143471
1994,8065,50908,11926,7998,21985,48852,149734
1995,8854,52977,12410,7974,22702,54039,158956
1996,9313,55010,12887,7836,23056,57301,165403
1997,10091,57831,13547,7844,23803,61362,174478
1998,11010,58718,13755,7771,24411,64757,180422
1999,11549,57002,13353,7567,24384,65687,179542
2000,11939,56162,13157,7463,24335,66791,179847
2001,11886,54592,12789,7181,23234,67233,176915
2002,11799,53598,12556,6974,22175,68855,175957
2003,10676,48706,11410,6229,19528,65386,161935
2004,10555,48276,11309,6088,18747,69477,164452
2005,9796,44316,10470,5559,16752,68794,155687
2006,9427,42160,10030,5238,15457,68907,151219
2007,9382,41860,9975,5097,14727,71756,152797
2008,9339,41451,9817,4909,13862,75935,155313
2009,8752,38319,8905,4430,12215,74683,147304
2010,8744,37798,8702,4286,11509,77650,148689
2011,8766,37531,8647,4169,10883,81207,151203
2012,8803,37341,8610,4074,10332,84964,154124
2013,8854,37219,8589,3997,9850,88890,157399
2014,8898,37089,8565,3932,9423,92736,160643
2015,8936,36950,8539,3880,9047,96498,163850
2016,8967,36799,8511,3838,8718,100172,167005
2017,8990,36634,8479,3805,8435,103753,170096
