Ano,Automóveis,Comerciais Leves,Soma
1980,52076,3582,55658
1981,174992,11210,186202
1982,211310,14963,226273
1983,383721,29011,412732
1984,609226,51000,660226
1985,821889,76656,898545
1986,1144606,113683,1258289
1987,1216911,130053,1346964
1988,1318932,149764,1468696
1989,1477572,172754,1650326
1990,1363320,161368,1524688
1991,1368817,162711,1531528
1992,1224955,146173,1371128
1993,1208475,144635,1353110
1994,1169015,140335,1309350
1995,1163646,139795,1303441
1996,1131971,135625,1267596
1997,951696,113467,1065163
1998,875838,103878,979716
1999,794694,93750,888444
2000,599607,70348,669955
2001,502031,58594,560625
2002,653362,75938,729300
2003,530828,61459,592287
2004,547645,63089,610734
2005,476143,54546,530689
2006,382057,43581,425638
2007,260994,29678,290672
2008,221725,25148,246873
2009,164823,18660,183483
2010,131771,14903,146674
2011,104462,11794,116256
2012,81945,9233,91178
2013,63634,7152,70786
2014,49315,5495,54810
2015,38198,4205,42403
2016,29795,3222,33017
2017,23601,2490,26091
