Ano,Automóveis,Comerciais Leves,Motocicletas,Soma
1980,3902671,613093,42689,4558453
1981,3468582,516972,59971,4045525
1982,3592795,507177,92529,4192501
1983,3169134,428176,114048,3711358
1984,2894785,380283,133730,3408798
1985,2867894,366906,159119,3393919
1986,3267172,407226,212489,3886887
1987,2870217,349672,218863,3438752
1988,2754945,329033,243645,3327623
1989,2895072,340920,289911,3525903
1990,2993119,352287,326810,3672216
1991,3134872,371817,361877,3868566
1992,3028294,361025,362903,3752222
1993,2867035,342209,351612,3560856
1994,2754477,328493,350304,3433274
1995,2613134,312277,361469,3286880
1996,2495936,302160,398767,3196863
1997,2267623,277919,454176,2999718
1998,1962929,241614,515962,2720505
1999,1643203,202600,552797,2398600
2000,1366052,168372,586726,2121150
2001,1172786,144278,655323,1972387
2002,1027374,125788,748360,1901522
2003,923813,112414,786607,1822834
2004,838630,101450,771275,1711355
2005,757795,91196,743801,1592792
2006,650399,77963,668742,1397104
2007,606492,72520,656235,1335247
2008,555648,66514,632508,1254670
2009,467881,56273,553789,1077943
2010,425781,51733,515214,992728
2011,373901,46484,457956,878341
2012,330765,42457,406768,779990
2013,290441,36010,385773,712224
2014,253422,32090,350877,636389
2015,220100,28721,321048,569869
2016,190249,25847,295800,511896
2017,163706,23422,274675,461803
